Date,Open,High,Low,Close,Adj Close,Volume
22-01-1999,0.04375,0.048828,0.038802,0.041016,0.037621,2714688000
25-01-1999,0.044271,0.045833,0.041016,0.045313,0.041562,510480000
26-01-1999,0.045833,0.046745,0.041146,0.041797,0.038337,343200000
27-01-1999,0.041927,0.042969,0.039583,0.041667,0.038218,244368000
28-01-1999,0.041667,0.041927,0.041276,0.041536,0.038098,227520000
29-01-1999,0.041536,0.041667,0.039583,0.039583,0.036307,244032000
01-02-1999,0.039583,0.040625,0.039583,0.040365,0.037024,154704000
02-02-1999,0.039583,0.040625,0.036068,0.03724,0.034158,264096000
03-02-1999,0.036719,0.038542,0.036458,0.038021,0.034874,75120000
04-02-1999,0.038542,0.041146,0.038021,0.040104,0.036784,181920000
05-02-1999,0.040755,0.041667,0.039714,0.041276,0.037859,136848000
08-02-1999,0.041536,0.041667,0.039844,0.039844,0.036546,154080000
09-02-1999,0.040625,0.040885,0.03776,0.038281,0.035112,86976000
10-02-1999,0.038281,0.039323,0.03724,0.037891,0.034755,148224000
11-02-1999,0.038021,0.042708,0.038021,0.041146,0.03774,132240000
12-02-1999,0.041667,0.04375,0.041667,0.04349,0.03989,109728000
16-02-1999,0.044271,0.046094,0.039323,0.04375,0.040129,211008000
17-02-1999,0.042708,0.043229,0.040625,0.041406,0.037979,67728000
18-02-1999,0.042708,0.043229,0.040885,0.042057,0.038576,70704000
19-02-1999,0.041667,0.044271,0.041146,0.04349,0.03989,75360000
22-02-1999,0.044271,0.044792,0.041406,0.04375,0.040129,205248000
23-02-1999,0.044792,0.046745,0.042188,0.045833,0.042039,138096000
24-02-1999,0.052604,0.054688,0.048307,0.049479,0.045383,612768000
25-02-1999,0.051563,0.053125,0.047135,0.047917,0.043951,149136000
26-02-1999,0.048438,0.05,0.045313,0.045703,0.04192,172608000
01-03-1999,0.046875,0.047917,0.04375,0.045964,0.042159,92160000
02-03-1999,0.045833,0.046094,0.044792,0.045573,0.041801,55248000
03-03-1999,0.045833,0.045833,0.042188,0.042448,0.038934,61392000
04-03-1999,0.044531,0.044792,0.041146,0.041536,0.038098,57360000
05-03-1999,0.041927,0.04401,0.041927,0.04388,0.040248,78768000
08-03-1999,0.042708,0.045833,0.041927,0.044531,0.040845,75888000
09-03-1999,0.044401,0.046615,0.044401,0.045964,0.042159,143184000
10-03-1999,0.046615,0.046615,0.044531,0.045182,0.041442,235344000
11-03-1999,0.044401,0.045182,0.043229,0.043229,0.039651,54288000
12-03-1999,0.04349,0.04349,0.041667,0.042448,0.038934,90768000
15-03-1999,0.04349,0.044792,0.043229,0.044271,0.040607,108816000
16-03-1999,0.044531,0.045052,0.042448,0.042839,0.039293,79152000
17-03-1999,0.043229,0.04401,0.042057,0.043099,0.039532,51360000
18-03-1999,0.043229,0.044271,0.042188,0.04362,0.040009,46320000
19-03-1999,0.04349,0.045052,0.04349,0.04375,0.040129,105312000
22-03-1999,0.044661,0.044792,0.042448,0.042448,0.038934,36672000
23-03-1999,0.042708,0.042708,0.039063,0.039844,0.036546,163968000
24-03-1999,0.039583,0.039844,0.038021,0.039583,0.036307,60864000
25-03-1999,0.039453,0.041667,0.039323,0.040104,0.036784,40320000
26-03-1999,0.040625,0.04375,0.040625,0.04362,0.040009,88272000
29-03-1999,0.044922,0.045964,0.044141,0.044922,0.041204,65952000
30-03-1999,0.045052,0.045443,0.040885,0.041146,0.03774,69504000
31-03-1999,0.042448,0.044531,0.040495,0.04401,0.040367,153600000
01-04-1999,0.04401,0.044271,0.041927,0.042708,0.039173,30432000
05-04-1999,0.042188,0.043229,0.041146,0.041406,0.037979,98640000
06-04-1999,0.041797,0.041927,0.039583,0.040365,0.037024,69696000
07-04-1999,0.040625,0.04401,0.040365,0.04375,0.040129,89280000
08-04-1999,0.04401,0.045833,0.04349,0.044531,0.040845,130128000
09-04-1999,0.044792,0.044792,0.04349,0.04375,0.040129,48624000
12-04-1999,0.043229,0.043229,0.041146,0.041927,0.038457,33312000
13-04-1999,0.042708,0.042708,0.039583,0.040234,0.036904,36144000
14-04-1999,0.040104,0.041016,0.039063,0.039063,0.03583,48288000
15-04-1999,0.040104,0.040104,0.039063,0.040104,0.036784,35856000
